Demand_id,Path,Transponder-100,Transponder-200,Transponder-400
Vancouver-Phoenix,"['Vancouver', 'Seattle', 'Portland', 'SaltLakeCity', 'LasVegas', 'Phoenix']",1,0,1
Vancouver-SanDiego,"['Vancouver', 'Seattle', 'Portland', 'SanFrancisco', 'LosAngeles', 'SanDiego']",1,1,0
LosAngeles-Vancouver,"['LosAngeles', 'SanFrancisco', 'Portland', 'Seattle', 'Vancouver']",6,1,3
LosAngeles-SanFrancisco,"['LosAngeles', 'SanFrancisco']",35,32,24
LosAngeles-LasVegas,"['LosAngeles', 'LasVegas']",7,10,9
LosAngeles-SaltLakeCity,"['LosAngeles', 'LasVegas', 'SaltLakeCity']",4,1,3
LosAngeles-ElPaso,"['LosAngeles', 'SanDiego', 'Phoenix', 'ElPaso']",4,1,1
LosAngeles-Dallas,"['LosAngeles', 'SanDiego', 'Phoenix', 'ElPaso', 'Dallas']",8,6,6
LosAngeles-Houston,"['LosAngeles', 'SanDiego', 'Phoenix', 'ElPaso', 'Houston']",4,7,5
LosAngeles-OklahomaCity,"['LosAngeles', 'SanDiego', 'Phoenix', 'ElPaso', 'Dallas', 'OklahomaCity']",1,0,2
LosAngeles-Minneapolis,"['LosAngeles', 'LasVegas', 'SaltLakeCity', 'Denver', 'KansasCity', 'Minneapolis']",2,2,4
LosAngeles-KansasCity,"['LosAngeles', 'LasVegas', 'SaltLakeCity', 'Denver', 'KansasCity']",0,3,2
LosAngeles-Denver,"['LosAngeles', 'LasVegas', 'SaltLakeCity', 'Denver']",5,8,2
LosAngeles-Chicago,"['LosAngeles', 'LasVegas', 'SaltLakeCity', 'Denver', 'KansasCity', 'StLouis', 'Chicago']",6,10,8
LosAngeles-Indianapolis,"['LosAngeles', 'LasVegas', 'SaltLakeCity', 'Denver', 'KansasCity', 'StLouis', 'Indianapolis']",2,1,2
LosAngeles-Detroit,"['LosAngeles', 'LasVegas', 'SaltLakeCity', 'Denver', 'KansasCity', 'StLouis', 'Chicago', 'Detroit']",2,1,7
LosAngeles-StLouis,"['LosAngeles', 'LasVegas', 'SaltLakeCity', 'Denver', 'KansasCity', 'StLouis']",3,1,4
LosAngeles-Nashville,"['LosAngeles', 'SanDiego', 'Phoenix', 'ElPaso', 'Dallas', 'Memphis', 'Nashville']",3,1,1
LosAngeles-Cleveland,"['LosAngeles', 'LasVegas', 'SaltLakeCity', 'Denver', 'KansasCity', 'StLouis', 'Indianapolis', 'Cincinnati', 'Cleveland']",2,1,3
LosAngeles-NewYork,"['LosAngeles', 'LasVegas', 'SaltLakeCity', 'Denver', 'KansasCity', 'StLouis', 'Indianapolis', 'Cincinnati', 'Cleveland', 'NewYork']",14,18,13
LosAngeles-Montreal,"['LosAngeles', 'LasVegas', 'SaltLakeCity', 'Denver', 'KansasCity', 'StLouis', 'Chicago', 'Detroit', 'Toronto', 'Montreal']",8,1,2
LosAngeles-Charlotte,"['LosAngeles', 'SanDiego', 'Phoenix', 'ElPaso', 'Dallas', 'Memphis', 'Nashville', 'Charlotte']",1,2,1
LosAngeles-NewOrleans,"['LosAngeles', 'SanDiego', 'Phoenix', 'ElPaso', 'Houston', 'NewOrleans']",1,1,2
LosAngeles-Boston,"['LosAngeles', 'LasVegas', 'SaltLakeCity', 'Denver', 'KansasCity', 'StLouis', 'Indianapolis', 'Cincinnati', 'Cleveland', 'NewYork', 'Boston']",3,5,4
LosAngeles-Atlanta,"['LosAngeles', 'SanDiego', 'Phoenix', 'ElPaso', 'Dallas', 'Memphis', 'Nashville', 'Atlanta']",8,6,2
LosAngeles-Miami,"['LosAngeles', 'SanDiego', 'Phoenix', 'ElPaso', 'Houston', 'NewOrleans', 'Miami']",1,6,4
LosAngeles-WashingtonDC,"['LosAngeles', 'SanDiego', 'Phoenix', 'ElPaso', 'Dallas', 'Memphis', 'Nashville', 'Charlotte', 'WashingtonDC']",4,8,5
LosAngeles-Philadelphia,"['LosAngeles', 'SanDiego', 'Phoenix', 'ElPaso', 'Dallas', 'Memphis', 'Nashville', 'Charlotte', 'WashingtonDC', 'Philadelphia']",4,3,5
LosAngeles-Toronto,"['LosAngeles', 'LasVegas', 'SaltLakeCity', 'Denver', 'KansasCity', 'StLouis', 'Chicago', 'Detroit', 'Toronto']",4,2,4
LosAngeles-Pittsburgh,"['LosAngeles', 'LasVegas', 'SaltLakeCity', 'Denver', 'KansasCity', 'StLouis', 'Indianapolis', 'Cincinnati', 'Cleveland', 'Pittsburgh']",2,3,2
LosAngeles-Cincinnati,"['LosAngeles', 'LasVegas', 'SaltLakeCity', 'Denver', 'KansasCity', 'StLouis', 'Indianapolis', 'Cincinnati']",2,3,1
LosAngeles-Tampa,"['LosAngeles', 'SanDiego', 'Phoenix', 'ElPaso', 'Dallas', 'Memphis', 'Nashville', 'Atlanta', 'Tampa']",0,3,2
LosAngeles-Memphis,"['LosAngeles', 'SanDiego', 'Phoenix', 'ElPaso', 'Dallas', 'Memphis']",0,2,1
LosAngeles-Winnipeg,"['LosAngeles', 'LasVegas', 'SaltLakeCity', 'Calgary', 'Winnipeg']",1,0,1
LosAngeles-Calgary,"['LosAngeles', 'LasVegas', 'SaltLakeCity', 'Calgary']",2,1,1
LosAngeles-Seattle,"['LosAngeles', 'SanFrancisco', 'Portland', 'Seattle']",2,4,7
LosAngeles-Portland,"['LosAngeles', 'SanFrancisco', 'Portland']",4,6,2
LosAngeles-Sacrameto,"['LosAngeles', 'SanFrancisco', 'Sacrameto']",9,6,7
LosAngeles-Phoenix,"['LosAngeles', 'SanDiego', 'Phoenix']",13,13,12
LosAngeles-SanDiego,"['LosAngeles', 'SanDiego']",44,47,41
SanFrancisco-Vancouver,"['SanFrancisco', 'Portland', 'Seattle', 'Vancouver']",1,1,2
SanFrancisco-LosAngeles,"['SanFrancisco', 'LosAngeles']",11,32,30
SanFrancisco-LasVegas,"['SanFrancisco', 'Sacrameto', 'LasVegas']",3,3,2
SanFrancisco-SaltLakeCity,"['SanFrancisco', 'Sacrameto', 'SaltLakeCity']",1,3,0
SanFrancisco-ElPaso,"['SanFrancisco', 'Sacrameto', 'LasVegas', 'Phoenix', 'ElPaso']",1,1,0
SanFrancisco-Dallas,"['SanFrancisco', 'Sacrameto', 'LasVegas', 'Phoenix', 'ElPaso', 'Dallas']",4,0,3
SanFrancisco-Houston,"['SanFrancisco', 'Sacrameto', 'LasVegas', 'Phoenix', 'ElPaso', 'Houston']",6,2,1
SanFrancisco-OklahomaCity,"['SanFrancisco', 'Sacrameto', 'SaltLakeCity', 'Denver', 'KansasCity', 'OklahomaCity']",0,0,1
SanFrancisco-Minneapolis,"['SanFrancisco', 'Sacrameto', 'SaltLakeCity', 'Denver', 'KansasCity', 'Minneapolis']",1,2,1
SanFrancisco-KansasCity,"['SanFrancisco', 'Sacrameto', 'SaltLakeCity', 'Denver', 'KansasCity']",0,1,1
SanFrancisco-Denver,"['SanFrancisco', 'Sacrameto', 'SaltLakeCity', 'Denver']",2,1,2
SanFrancisco-Chicago,"['SanFrancisco', 'Sacrameto', 'SaltLakeCity', 'Denver', 'KansasCity', 'StLouis', 'Chicago']",5,1,5
SanFrancisco-Indianapolis,"['SanFrancisco', 'Sacrameto', 'SaltLakeCity', 'Denver', 'KansasCity', 'StLouis', 'Indianapolis']",2,2,0
SanFrancisco-Detroit,"['SanFrancisco', 'Sacrameto', 'SaltLakeCity', 'Denver', 'KansasCity', 'StLouis', 'Chicago', 'Detroit']",1,3,2
SanFrancisco-StLouis,"['SanFrancisco', 'Sacrameto', 'SaltLakeCity', 'Denver', 'KansasCity', 'StLouis']",2,3,0
SanFrancisco-Nashville,"['SanFrancisco', 'Sacrameto', 'SaltLakeCity', 'Denver', 'KansasCity', 'StLouis', 'Memphis', 'Nashville']",0,0,1
SanFrancisco-Cleveland,"['SanFrancisco', 'Sacrameto', 'SaltLakeCity', 'Denver', 'KansasCity', 'StLouis', 'Indianapolis', 'Cincinnati', 'Cleveland']",3,0,1
SanFrancisco-NewYork,"['SanFrancisco', 'Sacrameto', 'SaltLakeCity', 'Denver', 'KansasCity', 'StLouis', 'Indianapolis', 'Cincinnati', 'Cleveland', 'NewYork']",9,3,7
SanFrancisco-Montreal,"['SanFrancisco', 'Sacrameto', 'SaltLakeCity', 'Denver', 'KansasCity', 'StLouis', 'Chicago', 'Detroit', 'Toronto', 'Montreal']",1,0,2
SanFrancisco-Charlotte,"['SanFrancisco', 'Sacrameto', 'SaltLakeCity', 'Denver', 'KansasCity', 'StLouis', 'Memphis', 'Nashville', 'Charlotte']",0,0,1
SanFrancisco-NewOrleans,"['SanFrancisco', 'Sacrameto', 'LasVegas', 'Phoenix', 'ElPaso', 'Houston', 'NewOrleans']",3,0,1
SanFrancisco-Boston,"['SanFrancisco', 'Sacrameto', 'SaltLakeCity', 'Denver', 'KansasCity', 'StLouis', 'Indianapolis', 'Cincinnati', 'Cleveland', 'NewYork', 'Boston']",1,1,2
SanFrancisco-Atlanta,"['SanFrancisco', 'Sacrameto', 'SaltLakeCity', 'Denver', 'KansasCity', 'StLouis', 'Memphis', 'Nashville', 'Atlanta']",2,3,1
SanFrancisco-Miami,"['SanFrancisco', 'Sacrameto', 'LasVegas', 'Phoenix', 'ElPaso', 'Houston', 'NewOrleans', 'Miami']",3,2,1
SanFrancisco-WashingtonDC,"['SanFrancisco', 'Sacrameto', 'SaltLakeCity', 'Denver', 'KansasCity', 'StLouis', 'Indianapolis', 'Cincinnati', 'Cleveland', 'Pittsburgh', 'WashingtonDC']",10,0,2
SanFrancisco-Philadelphia,"['SanFrancisco', 'Sacrameto', 'SaltLakeCity', 'Denver', 'KansasCity', 'StLouis', 'Indianapolis', 'Cincinnati', 'Cleveland', 'Pittsburgh', 'WashingtonDC', 'Philadelphia']",2,1,2
SanFrancisco-Toronto,"['SanFrancisco', 'Sacrameto', 'SaltLakeCity', 'Denver', 'KansasCity', 'StLouis', 'Chicago', 'Detroit', 'Toronto']",1,2,2
SanFrancisco-Pittsburgh,"['SanFrancisco', 'Sacrameto', 'SaltLakeCity', 'Denver', 'KansasCity', 'StLouis', 'Indianapolis', 'Cincinnati', 'Cleveland', 'Pittsburgh']",1,0,2
SanFrancisco-Cincinnati,"['SanFrancisco', 'Sacrameto', 'SaltLakeCity', 'Denver', 'KansasCity', 'StLouis', 'Indianapolis', 'Cincinnati']",1,1,1
SanFrancisco-Tampa,"['SanFrancisco', 'Sacrameto', 'SaltLakeCity', 'Denver', 'KansasCity', 'StLouis', 'Memphis', 'Nashville', 'Atlanta', 'Tampa']",4,1,0
SanFrancisco-Memphis,"['SanFrancisco', 'Sacrameto', 'SaltLakeCity', 'Denver', 'KansasCity', 'StLouis', 'Memphis']",2,0,1
SanFrancisco-Winnipeg,"['SanFrancisco', 'Portland', 'Seattle', 'Vancouver', 'Calgary', 'Winnipeg']",0,0,1
SanFrancisco-Calgary,"['SanFrancisco', 'Portland', 'Seattle', 'Vancouver', 'Calgary']",0,0,1
SanFrancisco-Seattle,"['SanFrancisco', 'Portland', 'Seattle']",3,7,1
SanFrancisco-Portland,"['SanFrancisco', 'Portland']",5,2,2
SanFrancisco-Sacrameto,"['SanFrancisco', 'Sacrameto']",16,13,19
SanFrancisco-Phoenix,"['SanFrancisco', 'Sacrameto', 'LasVegas', 'Phoenix']",3,3,3
SanFrancisco-SanDiego,"['SanFrancisco', 'LosAngeles', 'SanDiego']",7,5,3
LasVegas-Vancouver,"['LasVegas', 'SaltLakeCity', 'Portland', 'Seattle', 'Vancouver']",0,0,1
LasVegas-LosAngeles,"['LasVegas', 'LosAngeles']",7,17,6
LasVegas-SanFrancisco,"['LasVegas', 'Sacrameto', 'SanFrancisco']",2,3,2
LasVegas-SaltLakeCity,"['LasVegas', 'SaltLakeCity']",2,0,1
LasVegas-ElPaso,"['LasVegas', 'Phoenix', 'ElPaso']",0,1,0
LasVegas-Dallas,"['LasVegas', 'Phoenix', 'ElPaso', 'Dallas']",0,1,1
LasVegas-Houston,"['LasVegas', 'Phoenix', 'ElPaso', 'Houston']",0,2,0
LasVegas-OklahomaCity,"['LasVegas', 'Phoenix', 'ElPaso', 'Dallas', 'OklahomaCity']",0,1,0
LasVegas-Minneapolis,"['LasVegas', 'SaltLakeCity', 'Denver', 'KansasCity', 'Minneapolis']",0,0,1
LasVegas-KansasCity,"['LasVegas', 'SaltLakeCity', 'Denver', 'KansasCity']",0,1,0
LasVegas-Denver,"['LasVegas', 'SaltLakeCity', 'Denver']",0,1,1
LasVegas-Chicago,"['LasVegas', 'SaltLakeCity', 'Denver', 'KansasCity', 'StLouis', 'Chicago']",0,0,2
LasVegas-Indianapolis,"['LasVegas', 'SaltLakeCity', 'Denver', 'KansasCity', 'StLouis', 'Indianapolis']",2,0,0
LasVegas-Detroit,"['LasVegas', 'SaltLakeCity', 'Denver', 'KansasCity', 'StLouis', 'Chicago', 'Detroit']",0,2,0
LasVegas-StLouis,"['LasVegas', 'SaltLakeCity', 'Denver', 'KansasCity', 'StLouis']",0,0,1
LasVegas-Nashville,"['LasVegas', 'Phoenix', 'ElPaso', 'Dallas', 'Memphis', 'Nashville']",0,0,1
LasVegas-Cleveland,"['LasVegas', 'SaltLakeCity', 'Denver', 'KansasCity', 'StLouis', 'Indianapolis', 'Cincinnati', 'Cleveland']",2,0,0
LasVegas-NewYork,"['LasVegas', 'SaltLakeCity', 'Denver', 'KansasCity', 'StLouis', 'Indianapolis', 'Cincinnati', 'Cleveland', 'NewYork']",2,2,1
LasVegas-Montreal,"['LasVegas', 'SaltLakeCity', 'Denver', 'KansasCity', 'StLouis', 'Chicago', 'Detroit', 'Toronto', 'Montreal']",1,0,1
LasVegas-Charlotte,"['LasVegas', 'Phoenix', 'ElPaso', 'Dallas', 'Memphis', 'Nashville', 'Charlotte']",1,0,0
LasVegas-NewOrleans,"['LasVegas', 'Phoenix', 'ElPaso', 'Houston', 'NewOrleans']",0,0,1
LasVegas-Boston,"['LasVegas', 'SaltLakeCity', 'Denver', 'KansasCity', 'StLouis', 'Indianapolis', 'Cincinnati', 'Cleveland', 'NewYork', 'Boston']",0,0,1
LasVegas-Atlanta,"['LasVegas', 'Phoenix', 'ElPaso', 'Dallas', 'Memphis', 'Nashville', 'Atlanta']",0,0,1
LasVegas-Miami,"['LasVegas', 'Phoenix', 'ElPaso', 'Houston', 'NewOrleans', 'Miami']",2,1,0
LasVegas-WashingtonDC,"['LasVegas', 'SaltLakeCity', 'Denver', 'KansasCity', 'StLouis', 'Indianapolis', 'Cincinnati', 'Cleveland', 'Pittsburgh', 'WashingtonDC']",0,0,1
LasVegas-Philadelphia,"['LasVegas', 'SaltLakeCity', 'Denver', 'KansasCity', 'StLouis', 'Indianapolis', 'Cincinnati', 'Cleveland', 'Pittsburgh', 'WashingtonDC', 'Philadelphia']",0,0,1
LasVegas-Toronto,"['LasVegas', 'SaltLakeCity', 'Denver', 'KansasCity', 'StLouis', 'Chicago', 'Detroit', 'Toronto']",1,1,0
LasVegas-Pittsburgh,"['LasVegas', 'SaltLakeCity', 'Denver', 'KansasCity', 'StLouis', 'Indianapolis', 'Cincinnati', 'Cleveland', 'Pittsburgh']",1,1,0
LasVegas-Cincinnati,"['LasVegas', 'SaltLakeCity', 'Denver', 'KansasCity', 'StLouis', 'Indianapolis', 'Cincinnati']",0,1,0
LasVegas-Tampa,"['LasVegas', 'Phoenix', 'ElPaso', 'Dallas', 'Memphis', 'Nashville', 'Atlanta', 'Tampa']",0,0,1
LasVegas-Memphis,"['LasVegas', 'Phoenix', 'ElPaso', 'Dallas', 'Memphis']",1,0,0
LasVegas-Winnipeg,"['LasVegas', 'SaltLakeCity', 'Calgary', 'Winnipeg']",0,0,1
LasVegas-Calgary,"['LasVegas', 'SaltLakeCity', 'Calgary']",1,0,0
LasVegas-Seattle,"['LasVegas', 'SaltLakeCity', 'Portland', 'Seattle']",2,0,1
LasVegas-Portland,"['LasVegas', 'SaltLakeCity', 'Portland']",1,1,0
LasVegas-Sacrameto,"['LasVegas', 'Sacrameto']",0,0,2
LasVegas-Phoenix,"['LasVegas', 'Phoenix']",1,2,2
LasVegas-SanDiego,"['LasVegas', 'LosAngeles', 'SanDiego']",0,4,1
SaltLakeCity-Vancouver,"['SaltLakeCity', 'Portland', 'Seattle', 'Vancouver']",0,0,1
SaltLakeCity-LosAngeles,"['SaltLakeCity', 'LasVegas', 'LosAngeles']",2,0,4
SaltLakeCity-SanFrancisco,"['SaltLakeCity', 'Sacrameto', 'SanFrancisco']",0,0,2
SaltLakeCity-LasVegas,"['SaltLakeCity', 'LasVegas']",0,0,1
SaltLakeCity-ElPaso,"['SaltLakeCity', 'LasVegas', 'Phoenix', 'ElPaso']",0,1,0
SaltLakeCity-Dallas,"['SaltLakeCity', 'Denver', 'Dallas']",0,0,1
SaltLakeCity-Houston,"['SaltLakeCity', 'Denver', 'Dallas', 'Houston']",2,0,1
SaltLakeCity-OklahomaCity,"['SaltLakeCity', 'Denver', 'KansasCity', 'OklahomaCity']",0,0,1
SaltLakeCity-Minneapolis,"['SaltLakeCity', 'Denver', 'KansasCity', 'Minneapolis']",0,0,1
SaltLakeCity-KansasCity,"['SaltLakeCity', 'Denver', 'KansasCity']",1,1,0
SaltLakeCity-Denver,"['SaltLakeCity', 'Denver']",1,0,1
SaltLakeCity-Chicago,"['SaltLakeCity', 'Denver', 'KansasCity', 'StLouis', 'Chicago']",1,2,0
SaltLakeCity-Indianapolis,"['SaltLakeCity', 'Denver', 'KansasCity', 'StLouis', 'Indianapolis']",0,1,0
SaltLakeCity-Detroit,"['SaltLakeCity', 'Denver', 'KansasCity', 'StLouis', 'Chicago', 'Detroit']",0,0,1
SaltLakeCity-StLouis,"['SaltLakeCity', 'Denver', 'KansasCity', 'StLouis']",1,0,1
SaltLakeCity-Nashville,"['SaltLakeCity', 'Denver', 'KansasCity', 'StLouis', 'Memphis', 'Nashville']",1,0,0
SaltLakeCity-Cleveland,"['SaltLakeCity', 'Denver', 'KansasCity', 'StLouis', 'Indianapolis', 'Cincinnati', 'Cleveland']",0,1,0
SaltLakeCity-NewYork,"['SaltLakeCity', 'Denver', 'KansasCity', 'StLouis', 'Indianapolis', 'Cincinnati', 'Cleveland', 'NewYork']",2,1,1
SaltLakeCity-Montreal,"['SaltLakeCity', 'Denver', 'KansasCity', 'StLouis', 'Chicago', 'Detroit', 'Toronto', 'Montreal']",0,1,0
SaltLakeCity-Charlotte,"['SaltLakeCity', 'Denver', 'KansasCity', 'StLouis', 'Memphis', 'Nashville', 'Charlotte']",0,0,1
SaltLakeCity-NewOrleans,"['SaltLakeCity', 'Denver', 'Dallas', 'Houston', 'NewOrleans']",0,0,1
SaltLakeCity-Boston,"['SaltLakeCity', 'Denver', 'KansasCity', 'StLouis', 'Indianapolis', 'Cincinnati', 'Cleveland', 'NewYork', 'Boston']",1,0,1
SaltLakeCity-Atlanta,"['SaltLakeCity', 'Denver', 'KansasCity', 'StLouis', 'Memphis', 'Nashville', 'Atlanta']",0,0,1
SaltLakeCity-Miami,"['SaltLakeCity', 'Denver', 'Dallas', 'Houston', 'NewOrleans', 'Miami']",0,0,1
SaltLakeCity-WashingtonDC,"['SaltLakeCity', 'Denver', 'KansasCity', 'StLouis', 'Indianapolis', 'Cincinnati', 'Cleveland', 'Pittsburgh', 'WashingtonDC']",0,1,1
SaltLakeCity-Philadelphia,"['SaltLakeCity', 'Denver', 'KansasCity', 'StLouis', 'Indianapolis', 'Cincinnati', 'Cleveland', 'Pittsburgh', 'WashingtonDC', 'Philadelphia']",2,0,0
SaltLakeCity-Toronto,"['SaltLakeCity', 'Denver', 'KansasCity', 'StLouis', 'Chicago', 'Detroit', 'Toronto']",0,0,1
SaltLakeCity-Pittsburgh,"['SaltLakeCity', 'Denver', 'KansasCity', 'StLouis', 'Indianapolis', 'Cincinnati', 'Cleveland', 'Pittsburgh']",0,1,0
SaltLakeCity-Cincinnati,"['SaltLakeCity', 'Denver', 'KansasCity', 'StLouis', 'Indianapolis', 'Cincinnati']",1,0,0
SaltLakeCity-Tampa,"['SaltLakeCity', 'Denver', 'KansasCity', 'StLouis', 'Memphis', 'Nashville', 'Atlanta', 'Tampa']",0,0,1
SaltLakeCity-Memphis,"['SaltLakeCity', 'Denver', 'KansasCity', 'StLouis', 'Memphis']",0,0,1
SaltLakeCity-Winnipeg,"['SaltLakeCity', 'Calgary', 'Winnipeg']",0,0,1
SaltLakeCity-Calgary,"['SaltLakeCity', 'Calgary']",1,0,0
SaltLakeCity-Seattle,"['SaltLakeCity', 'Portland', 'Seattle']",0,1,1
SaltLakeCity-Portland,"['SaltLakeCity', 'Portland']",0,1,0
SaltLakeCity-Sacrameto,"['SaltLakeCity', 'Sacrameto']",1,1,0
SaltLakeCity-Phoenix,"['SaltLakeCity', 'LasVegas', 'Phoenix']",1,2,0
SaltLakeCity-SanDiego,"['SaltLakeCity', 'LasVegas', 'LosAngeles', 'SanDiego']",1,1,0
ElPaso-Vancouver,"['ElPaso', 'Phoenix', 'LasVegas', 'SaltLakeCity', 'Portland', 'Seattle', 'Vancouver']",0,1,0
ElPaso-LosAngeles,"['ElPaso', 'Phoenix', 'SanDiego', 'LosAngeles']",2,3,1
ElPaso-SanFrancisco,"['ElPaso', 'Phoenix', 'LasVegas', 'Sacrameto', 'SanFrancisco']",1,0,1
ElPaso-LasVegas,"['ElPaso', 'Phoenix', 'LasVegas']",0,1,0
ElPaso-SaltLakeCity,"['ElPaso', 'Phoenix', 'LasVegas', 'SaltLakeCity']",0,1,0
ElPaso-Dallas,"['ElPaso', 'Dallas']",0,0,1
ElPaso-Houston,"['ElPaso', 'Houston']",1,1,0
ElPaso-OklahomaCity,"['ElPaso', 'Dallas', 'OklahomaCity']",1,0,0
ElPaso-Minneapolis,"['ElPaso', 'Dallas', 'OklahomaCity', 'KansasCity', 'Minneapolis']",0,1,0
ElPaso-KansasCity,"['ElPaso', 'Dallas', 'OklahomaCity', 'KansasCity']",1,0,0
ElPaso-Denver,"['ElPaso', 'Dallas', 'Denver']",0,1,0
ElPaso-Chicago,"['ElPaso', 'Dallas', 'Memphis', 'StLouis', 'Chicago']",0,0,1
ElPaso-Indianapolis,"['ElPaso', 'Dallas', 'Memphis', 'Nashville', 'Indianapolis']",0,1,0
ElPaso-Detroit,"['ElPaso', 'Dallas', 'Memphis', 'StLouis', 'Chicago', 'Detroit']",0,0,1
ElPaso-StLouis,"['ElPaso', 'Dallas', 'Memphis', 'StLouis']",0,0,1
ElPaso-Nashville,"['ElPaso', 'Dallas', 'Memphis', 'Nashville']",0,1,0
ElPaso-Cleveland,"['ElPaso', 'Dallas', 'Memphis', 'Nashville', 'Indianapolis', 'Cincinnati', 'Cleveland']",1,0,0
